id,left,top,right,bottom,row_index,col_index,x,y
794,77.2728675,23.2918564,77.2733675,23.2913564,13,7,77.2731175,23.2916064
797,77.2728675,23.2903564,77.2733675,23.2898564,16,7,77.2731175,23.2901064
798,77.2728675,23.2898564,77.2733675,23.2893564,17,7,77.2731175,23.2896064
800,77.2728675,23.2888564,77.2733675,23.2883564,19,7,77.2731175,23.2886064
806,77.2728675,23.2858564,77.2733675,23.2853564,25,7,77.2731175,23.2856064
807,77.2728675,23.2853564,77.2733675,23.2848564,26,7,77.2731175,23.2851064
831,77.2733675,23.2933564,77.2738675,23.2928564,10,8,77.2736175,23.2931064
832,77.2733675,23.2928564,77.2738675,23.2923564,11,8,77.2736175,23.2926064
837,77.2733675,23.2903564,77.2738675,23.2898564,16,8,77.2736175,23.2901064
838,77.2733675,23.2898564,77.2738675,23.2893564,17,8,77.2736175,23.2896064
839,77.2733675,23.2893564,77.2738675,23.2888564,18,8,77.2736175,23.2891064
840,77.2733675,23.2888564,77.2738675,23.2883564,19,8,77.2736175,23.2886064
841,77.2733675,23.2883564,77.2738675,23.2878564,20,8,77.2736175,23.2881064
846,77.2733675,23.2858564,77.2738675,23.2853564,25,8,77.2736175,23.2856064
847,77.2733675,23.2853564,77.2738675,23.2848564,26,8,77.2736175,23.2851064
851,77.2733675,23.2833564,77.2738675,23.2828564,30,8,77.2736175,23.2831064
852,77.2733675,23.2828564,77.2738675,23.2823564,31,8,77.2736175,23.2826064
853,77.2733675,23.2823564,77.2738675,23.2818564,32,8,77.2736175,23.2821064
854,77.2733675,23.2818564,77.2738675,23.2813564,33,8,77.2736175,23.2816064
871,77.2738675,23.2933564,77.2743675,23.2928564,10,9,77.2741175,23.2931064
872,77.2738675,23.2928564,77.2743675,23.2923564,11,9,77.2741175,23.2926064
877,77.2738675,23.2903564,77.2743675,23.2898564,16,9,77.2741175,23.2901064
880,77.2738675,23.2888564,77.2743675,23.2883564,19,9,77.2741175,23.2886064
881,77.2738675,23.2883564,77.2743675,23.2878564,20,9,77.2741175,23.2881064
882,77.2738675,23.2878564,77.2743675,23.2873564,21,9,77.2741175,23.2876064
883,77.2738675,23.2873564,77.2743675,23.2868564,22,9,77.2741175,23.2871064
884,77.2738675,23.2868564,77.2743675,23.2863564,23,9,77.2741175,23.2866064
886,77.2738675,23.2858564,77.2743675,23.2853564,25,9,77.2741175,23.2856064
887,77.2738675,23.2853564,77.2743675,23.2848564,26,9,77.2741175,23.2851064
891,77.2738675,23.2833564,77.2743675,23.2828564,30,9,77.2741175,23.2831064
892,77.2738675,23.2828564,77.2743675,23.2823564,31,9,77.2741175,23.2826064
893,77.2738675,23.2823564,77.2743675,23.2818564,32,9,77.2741175,23.2821064
894,77.2738675,23.2818564,77.2743675,23.2813564,33,9,77.2741175,23.2816064
