id,left,top,right,bottom,row_index,col_index,x,y,fid,osm_id,osm_way_id,name,type,aeroway,amenity,admin_level,barrier,boundary,building,craft,geological,historic,land_area,landuse,leisure,man_made,military,natural,office,place,shop,sport,tourism,other_tags,layer,path,proj_id
136,77.2708675,23.2908564,77.2713675,23.2903564,15,3,77.2711175,23.2906064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,136
168,77.2713675,23.2948564,77.2718675,23.2943564,7,4,77.2716175,23.2946064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,168
170,77.2713675,23.2938564,77.2718675,23.2933564,9,4,77.2716175,23.2936064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,170
175,77.2713675,23.2913564,77.2718675,23.2908564,14,4,77.2716175,23.2911064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,175
176,77.2713675,23.2908564,77.2718675,23.2903564,15,4,77.2716175,23.2906064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,176
177,77.2713675,23.2903564,77.2718675,23.2898564,16,4,77.2716175,23.2901064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,177
208,77.2718675,23.2948564,77.2723675,23.2943564,7,5,77.2721175,23.2946064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,208
210,77.2718675,23.2938564,77.2723675,23.2933564,9,5,77.2721175,23.2936064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,210
211,77.2718675,23.2933564,77.2723675,23.2928564,10,5,77.2721175,23.2931064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,211
216,77.2718675,23.2908564,77.2723675,23.2903564,15,5,77.2721175,23.2906064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,216
218,77.2718675,23.2898564,77.2723675,23.2893564,17,5,77.2721175,23.2896064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,218
248,77.2723675,23.2948564,77.2728675,23.2943564,7,6,77.2726175,23.2946064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,248
249,77.2723675,23.2943564,77.2728675,23.2938564,8,6,77.2726175,23.2941064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,249
251,77.2723675,23.2933564,77.2728675,23.2928564,10,6,77.2726175,23.2931064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,251
252,77.2723675,23.2928564,77.2728675,23.2923564,11,6,77.2726175,23.2926064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,252
254,77.2723675,23.2918564,77.2728675,23.2913564,13,6,77.2726175,23.2916064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,254
290,77.2728675,23.2938564,77.2733675,23.2933564,9,7,77.2731175,23.2936064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,290
291,77.2728675,23.2933564,77.2733675,23.2928564,10,7,77.2731175,23.2931064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,291
292,77.2728675,23.2928564,77.2733675,23.2923564,11,7,77.2731175,23.2926064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,292
293,77.2728675,23.2923564,77.2733675,23.2918564,12,7,77.2731175,23.2921064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,293
294,77.2728675,23.2918564,77.2733675,23.2913564,13,7,77.2731175,23.2916064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,294
297,77.2728675,23.2903564,77.2733675,23.2898564,16,7,77.2731175,23.2901064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,297
298,77.2728675,23.2898564,77.2733675,23.2893564,17,7,77.2731175,23.2896064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,298
331,77.2733675,23.2933564,77.2738675,23.2928564,10,8,77.2736175,23.2931064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,331
332,77.2733675,23.2928564,77.2738675,23.2923564,11,8,77.2736175,23.2926064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,332
337,77.2733675,23.2903564,77.2738675,23.2898564,16,8,77.2736175,23.2901064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,337
371,77.2738675,23.2933564,77.2743675,23.2928564,10,9,77.2741175,23.2931064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,371
372,77.2738675,23.2928564,77.2743675,23.2923564,11,9,77.2741175,23.2926064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,372
413,77.2743675,23.2923564,77.2748675,23.2918564,12,10,77.2746175,23.2921064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,413
414,77.2743675,23.2918564,77.2748675,23.2913564,13,10,77.2746175,23.2916064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,414
415,77.2743675,23.2913564,77.2748675,23.2908564,14,10,77.2746175,23.2911064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,415
453,77.2748675,23.2923564,77.2753675,23.2918564,12,11,77.2751175,23.2921064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,453
454,77.2748675,23.2918564,77.2753675,23.2913564,13,11,77.2751175,23.2916064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,454
455,77.2748675,23.2913564,77.2753675,23.2908564,14,11,77.2751175,23.2911064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,455
456,77.2748675,23.2908564,77.2753675,23.2903564,15,11,77.2751175,23.2906064,,,,,,,,,,,,,,,,,,,,,,,,,,,blank_centroid_coordinates,C:/Users/manij/Documents/blank_space_centroid_coords.geojson|layername=blank_space_centroid_coords,456
,,,,,,,77.2702765515,23.2922909995,1,"6168358",,BRAINSPACE,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,1
,,,,,,,77.2709024355,23.2928284109,2,"6168359",,Hostel 5 - CRANE,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,2
,,,,,,,77.2727035616,23.289899157,3,"6168362",,Hostel 1 - HAWK,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,3
,,,,,,,77.2711665311,23.291021351,5,"13384408",,Hostel 2 - EAGLE,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,5
,,,,,,,77.2705895328,23.2915861561,6,"13384409",,Hostel 3 - SILVERBILL,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,6
,,,,,,,77.2714375478,23.2932448122,7,"13384410",,Hostel 6 - SWAN,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,7
,,,,,,,77.2722708449,23.2933523485,8,"13384411",,Hostel 7 - SUNBIRD,multipolygon,,,,,,yes,,,,,,,,,,,,,,hostel,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,8
,,,,,,,77.2708841404,23.2913231123,10,,"413257691",Mess - 2,,,restaurant,,,,yes,,,,,,,,,,,,,,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,10
,,,,,,,77.2739662601,23.2916073113,114,,"997548409",Athletic Track,,,,,,,,,,,,,track,,,,,,,running,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,114
,,,,,,,77.2721587551,23.2899878036,115,,"997550775",Mess - 1,,,restaurant,,,,yes,,,,,,,,,,,,,,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,115
,,,,,,,77.2706021051,23.2925343014,116,,"997560777",Mess - 3,,,restaurant,,,,yes,,,,,,,,,,,,,,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,116
,,,,,,,77.2718371286,23.293301179,117,,"997560782",Mess - 4,,,restaurant,,,,yes,,,,,,,,,,,,,,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,117
,,,,,,,77.2719682057,23.2920858709,119,,"997672242",Cricket Ground,,,,,,,,,,,,,pitch,,,,,,,cricket,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,119
,,,,,,,77.271130149,23.2921446828,120,,"997672243",Ideation Hut,,,cafe,,,,yes,,,,,,,,,,,,,,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,120
,,,,,,,77.2710140476,23.2932173769,145,,"997714542",Badminton Hall,,,,,,,,,,,,,pitch,,,,,,,badminton,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,145
,,,,,,,77.2741439184,23.2904967345,146,,"997714543",Hostel 9 - Flamingo (Proposed),,,,,,,yes,,,,,,,,,,,,,,hostel,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,146
,,,,,,,77.2704516,23.29303205,147,,"997714545",Mess - 5,,,restaurant,,,,yes,,,,,,,,,,,,,,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,147
,,,,,,,77.2721720324,23.2914358805,148,,"997714547",Student Activity Center,,,social_centre,,,,yes,,,,,,,,,,,,,,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,148
,,,,,,,77.2727324716,23.291517453,149,,"997714548",Open Stage,,,social_centre,,,,yes,,,,,,,,,,,,,,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,149
,,,,,,,77.27259,23.2934732,150,,"997714549",Tennis and Badminton Court,,,,,,,,,,,,,pitch,,,,,,,tennis,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,150
,,,,,,,77.2726134669,23.2909803301,151,,"997714550",Sports Complex,,,,,,,,,,,,,sports_centre,,,,,,,,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,151
,,,,,,,77.2731558724,23.2899298634,152,,"997714551",,,,,,,,,,,,,,pitch,,,,,,,basketball,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,152
,,,,,,,77.271602289,23.2941768789,168,,"1170502563",Hostel 8 - Sky Lark,,,,,,,yes,,,,,,,,,,,,,,hostel,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,168
,,,,,,,77.2709181478,23.2939129187,169,,"1170502564",Mess - 6,,,restaurant,,,,yes,,,,,,,,,,,,,,,,buidling_centroid_coordinates,C:/Users/manij/Documents/building_centroid_coordinates.geojson|layername=building_centroid_coordinates,169
