origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
459,459,,,,
459,458,3.9440487,58.8902538,0.0239333,62.8582357
459,457,3.9440487,134.1866534,7.7199220,145.8506240
459,427,3.9440487,576.1904698,5.3954508,585.5299693
459,426,3.9440487,524.0188856,9.3960515,537.3589857
459,420,3.9440487,413.7248824,6.0995382,423.7684693
459,417,3.9440487,159.5335070,6.8682896,170.3458453
459,387,3.9440487,616.4946905,2.4546441,622.8933832
459,386,3.9440487,506.0567695,39.3874390,549.3882571
459,384,3.9440487,402.2189567,5.6326728,411.7956782
459,383,3.9440487,369.1544158,10.3284886,383.4269531
459,382,3.9440487,276.9225421,7.0582103,287.9248010
459,381,3.9440487,314.6995155,1.2480829,319.8916470
459,380,3.9440487,362.9880998,13.8075308,380.7396793
459,377,3.9440487,210.3230479,0.3320237,214.5991203
459,347,3.9440487,666.6283001,9.5320406,680.1043894
459,346,3.9440487,655.4718601,63.3965271,722.8124358
459,341,3.9440487,365.5771313,2.6413996,372.1625796
459,340,3.9440487,414.8718367,0.0051739,418.8210592
459,339,3.9440487,389.2282725,8.9417100,402.1140312
459,338,3.9440487,334.4777196,17.7226409,356.1444091
459,307,3.9440487,713.4909920,28.7173765,746.1524171
459,306,3.9440487,713.4909920,81.7916180,799.2266586
459,300,3.9440487,440.5003730,9.8495964,454.2940181
459,259,3.9440487,434.2437120,30.7505403,468.9383010
459,624,3.9440487,574.5193307,56.7801713,635.2435506
459,623,3.9440487,362.4605542,46.2502670,412.6548698
459,622,3.9440487,357.1260388,8.7725115,369.8425990
459,621,3.9440487,282.9268024,57.2192696,344.0901206
459,620,3.9440487,685.6412973,67.3432491,756.9285951
459,619,3.9440487,592.6665272,55.5596615,652.1702374
459,618,3.9440487,437.4558650,15.1435882,456.5435019
459,587,3.9440487,609.0204190,2.0021164,614.9665840
459,586,3.9440487,502.1390344,24.1263901,530.2094731
459,585,3.9440487,451.9016744,30.0876714,485.9333944
459,584,3.9440487,394.1408253,34.8970911,432.9819651
459,583,3.9440487,333.3820495,36.1045447,373.4306429
459,582,3.9440487,307.1819694,3.9856983,315.1117163
459,581,3.9440487,231.5969025,24.8077229,260.3486740
459,580,3.9440487,195.1710471,32.0799539,231.1950497
459,579,3.9440487,244.3444318,40.7087702,288.9972506
459,578,3.9440487,199.9987738,54.1342898,258.0771123
459,577,3.9440487,386.5822725,42.2376949,432.7640161
459,547,3.9440487,566.7865328,12.7580380,583.4886194
459,546,3.9440487,506.0353272,26.8790748,536.8584506
459,544,3.9440487,391.3860811,16.2028219,411.5329517
459,543,3.9440487,359.5702055,11.8683632,375.3826174
459,542,3.9440487,303.0596906,2.9452203,309.9489595
459,540,3.9440487,190.1995175,4.5163847,198.6599508
459,539,3.9440487,233.1844698,9.5623519,246.6908703
459,538,3.9440487,180.5515162,6.8903293,191.3858941
459,537,3.9440487,183.3021918,32.3372412,219.5834816
459,536,3.9440487,257.1461800,3.0342481,264.1244767
459,507,3.9440487,664.0105909,0.4451002,668.3997397
459,498,3.9440487,113.3985015,4.5861813,121.9287315
459,497,3.9440487,166.9894174,9.0504933,179.9839594
459,496,3.9440487,251.8732173,10.8824782,266.6997441
459,136,3.9440487,215.6341796,43.6996565,263.2778847
459,135,3.9440487,674.9005864,24.0064437,702.8510787
459,134,3.9440487,390.1379325,9.5828277,403.6648089
459,133,3.9440487,253.7218543,24.7871132,282.4530162
459,132,3.9440487,363.7285425,15.5685895,383.2411806
459,131,3.9440487,374.2509603,9.3493347,387.5443437
459,130,3.9440487,467.0317181,23.9317012,494.9074680
459,129,3.9440487,408.6701949,28.0521064,440.6663500
459,128,3.9440487,236.0825946,16.4406819,256.4673252
459,127,3.9440487,267.8035748,15.4553472,287.2029707
459,126,3.9440487,146.1895079,25.1442028,175.2777593
459,125,3.9440487,269.8916612,7.5961936,281.4319034
459,124,3.9440487,211.5338633,10.6827560,226.1606680
459,123,3.9440487,232.8164817,11.2298323,247.9903627
459,122,3.9440487,260.8405997,28.9748167,293.7594650
459,121,3.9440487,363.7285425,22.1618907,389.8344818
459,118,3.9440487,413.7364062,20.4885206,438.1689754
459,702,3.9440487,488.4543325,12.5954778,504.9938589
459,701,3.9440487,576.5379286,7.6394575,588.1214348
459,700,3.9440487,664.5867310,8.3591592,676.8899389
459,699,3.9440487,637.2191298,7.1876218,648.3508002
459,698,3.9440487,527.9045477,4.0436814,535.8922777
459,664,3.9440487,554.2469299,8.6990623,566.8900409
459,663,3.9440487,507.2903802,32.6456097,543.8800386
