origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
508,508,,,,
508,478,46.2501760,849.8764731,0.6107463,896.7373954
508,477,46.2501760,807.6614612,32.2823000,886.1939373
508,476,46.2501760,598.6648342,11.8207620,656.7357722
508,475,46.2501760,550.6541788,21.4844154,618.3887702
508,474,46.2501760,463.5590182,5.1146571,514.9238513
508,469,46.2501760,212.2225769,21.4400797,279.9128326
508,468,46.2501760,231.1629477,29.5813128,306.9944365
508,436,46.2501760,732.1084987,23.5327366,801.8914113
508,435,46.2501760,539.2245242,29.0847973,614.5594975
508,434,46.2501760,508.1160737,1.6794935,556.0457433
508,433,46.2501760,438.4505814,4.9437989,489.6445563
508,432,46.2501760,375.5587475,4.5971345,426.4060581
508,431,46.2501760,398.5471618,4.6749372,449.4722750
508,430,46.2501760,341.6730297,5.9425882,393.8657939
508,428,46.2501760,272.7783141,20.4531002,339.4815904
508,395,46.2501760,656.5556407,14.7832123,717.5890290
508,394,46.2501760,551.7214949,7.5006658,605.4723367
508,393,46.2501760,489.1034325,1.9762403,537.3298488
508,392,46.2501760,447.3908088,53.3580366,546.9990213
508,391,46.2501760,443.8912806,1.8673836,492.0088403
508,354,46.2501760,613.0973510,3.6523630,662.9998900
508,353,46.2501760,611.1681397,2.1424608,659.5607765
508,352,46.2501760,555.9910002,6.1706910,608.4118672
508,351,46.2501760,494.9457821,5.6528077,546.8487659
508,636,46.2501760,578.4017211,19.4166619,644.0685590
508,635,46.2501760,610.9887427,39.9663586,697.2052773
508,630,46.2501760,358.8722424,3.0531190,408.1755374
508,629,46.2501760,304.2443898,4.7926154,355.2871813
508,628,46.2501760,250.0148093,13.5576595,309.8226448
508,598,46.2501760,713.7093219,10.6219246,770.5814225
508,597,46.2501760,578.8044336,48.7406614,673.7952710
508,596,46.2501760,540.9264691,11.2330194,598.4096646
508,595,46.2501760,502.4355292,17.6462864,566.3319917
508,594,46.2501760,574.0126971,36.0648126,656.3276857
508,593,46.2501760,527.4705009,35.8396628,609.5603397
508,592,,,,
508,591,,,,
508,590,46.2501760,412.6487189,6.8884725,465.7873675
508,589,46.2501760,386.9585992,30.1613544,463.3701297
508,588,46.2501760,63.5375871,39.3855799,149.1733430
508,558,46.2501760,759.1195919,38.6476763,844.0174441
